HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,343,3,8,8,49,463676,57959.5,6.13
1,1,343,4,2,2,22,254466,127233,11
1,1,344,3,2,2,3,30714,15357,1.5
1,1,346,2,3,3,10,80496,26832,3.33
1,1,346,3,2,2,28,208903,104451.5,14
1,1,346,4,4,4,29,263831,65957.75,7.25
1,1,347,1,1,1,1,7164,7164,1
1,1,347,3,1,1,12,79849,79849,12
1,1,349,2,2,2,6,77845,38922.5,3
1,1,349,3,1,1,4,26295,26295,4
1,1,351,2,4,4,20,219549,54887.25,5
1,1,351,3,6,6,25,168770,28128.3333,4.17
1,1,361,1,7,7,32,610829,87261.2857,4.57
1,1,361,2,14,14,66,1564074,111719.5714,4.71
1,1,361,3,5,5,33,801354,160270.8,6.6
1,1,361,4,3,3,31,783778,261259.3333,10.33
1,1,362,1,1,1,1,53214,53214,1
1,1,362,2,1,1,1,136564,136564,1
1,1,364,1,1,1,1,55760,55760,1
1,1,364,2,7,7,32,865502,123643.1429,4.57
1,1,364,3,3,3,19,407313,135771,6.33
1,1,364,4,2,2,13,159770,79885,6.5
1,1,380,3,1,1,35,125960,125960,35
1,1,380,4,1,1,4,28812,28812,4
1,1,381,2,2,2,4,42988,21494,2
1,1,381,3,4,4,19,166491,41622.75,4.75
1,1,382,2,1,1,3,29640,29640,3
1,1,383,1,2,2,9,73626,36813,4.5
1,1,383,2,7,7,25,187241,26748.7143,3.57
1,1,383,3,6,6,15,121173,20195.5,2.5
1,1,383,4,3,3,22,465560,155186.6667,7.33
1,1,385,1,1,1,2,69056,69056,2
1,1,385,2,4,4,32,152960,38240,8
1,1,385,3,3,3,12,87610,29203.3333,4
1,1,385,4,3,3,44,311721,103907,14.67
1,1,401,1,11,11,23,768766,69887.8182,2.09
1,1,401,2,1,1,7,157204,157204,7
1,1,403,2,1,1,5,44587,44587,5
1,1,403,4,1,1,15,204550,204550,15
1,1,404,1,3,3,4,172263,57421,1.33
1,1,404,2,4,4,11,297426,74356.5,2.75
1,1,405,3,2,2,27,353499,176749.5,13.5
1,1,405,4,1,1,11,170695,170695,11
1,1,420,1,1,1,1,5057,5057,1
1,1,420,2,2,2,2,50363,25181.5,1
1,1,420,3,6,6,27,234911,39151.8333,4.5
1,1,420,4,3,3,41,326375,108791.6667,13.67
